Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,26.4,15.97
60,29.7,20.616
70,52.2,24.198
80,39.6,7.877
90,34.5,7.762
100,37.7,8.343
110,36.3,7.295
120,34.5,7.046
130,37.3,7.349
140,38.5,8.028
150,37.6,7.255
160,40.0,8.497
170,41.7,9.012
180,41.7,8.486
190,42.8,8.436
200,44.0,7.733
210,42.9,8.443
220,39.8,6.925
230,39.9,6.906
240,45.8,7.454
250,73.7,16.686
260,52.1,6.891
270,43.3,8.776
280,43.4,9.308
290,46.4,12.729
300,42.4,10.131
310,41.9,10.329
320,42.6,10.062
330,37.7,11.619
340,43.1,9.669
350,44.9,9.016
360,38.7,12.0
370,36.0,11.162
380,36.9,8.837
390,33.8,8.072
400,37.2,8.436
410,36.4,10.268
420,37.1,10.867
430,34.3,8.591
440,31.3,10.845
450,30.3,15.252
460,33.1,10.104
470,30.3,10.05
480,25.5,12.619
490,27.5,13.193
500,32.5,9.902
510,30.1,7.409
520,20.7,6.165
530,23.2,14.905
540,30.8,9.765
550,19.2,4.956
560,14.1,4.437
570,20.2,8.577
580,24.1,7.021
590,19.6,4.454
600,15.1,4.323
610,19.4,10.452
620,27.2,10.419
630,25.4,7.144
640,21.1,8.372
650,20.1,8.336
660,23.2,8.727
670,23.9,8.882
680,18.7,6.067
690,21.2,8.818
700,20.9,8.78
710,18.6,9.635
720,19.1,11.597
730,18.2,12.343
740,19.3,10.02
750,16.8,9.621
760,15.7,9.727
770,13.3,4.562
780,12.9,4.549
790,18.3,9.839
800,17.0,11.269
810,17.1,11.131
820,14.8,9.357
830,14.3,6.604
840,17.1,7.687
850,15.8,7.153
860,16.0,4.879
870,16.3,7.55
880,15.9,11.58
890,18.9,12.341
900,17.9,11.291
910,19.5,11.655
920,22.4,10.423
930,18.0,3.661
940,14.4,4.923
950,11.9,1.3
960,12.3,3.407
970,17.8,3.709
980,24.1,7.569
990,14.6,1.625
