Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,26.4,15.97
60,29.7,20.616
70,43.7,21.689
80,40.3,8.026
90,31.8,7.507
100,24.7,4.473
110,20.7,4.196
120,21.2,4.045
130,21.2,3.945
140,16.6,2.905
150,9.2,0.872
160,9.2,0.872
170,12.7,2.052
180,19.3,3.662
190,17.3,3.132
200,18.7,3.407
210,22.1,3.506
220,20.9,3.833
230,17.7,3.437
240,17.0,3.194
250,18.4,3.262
260,20.7,4.124
270,20.3,4.473
280,17.3,3.132
290,15.7,2.492
300,16.0,3.098
310,15.8,2.441
320,17.5,3.442
330,18.0,3.661
340,17.6,3.527
350,15.6,2.653
360,17.2,3.655
370,19.0,4.243
380,19.0,4.243
390,18.7,4.562
400,18.8,4.956
410,17.6,4.386
420,18.1,4.636
430,17.7,4.451
440,19.9,5.787
450,20.5,5.536
460,22.6,6.829
470,23.7,8.591
480,23.2,7.359
490,21.2,8.268
500,24.5,16.47
510,26.8,19.451
520,24.4,9.82
530,20.7,8.186
540,19.1,6.7
550,26.6,22.186
560,17.9,5.375
570,19.3,5.349
580,30.8,21.334
590,31.4,18.195
600,26.2,18.766
610,27.0,18.044
620,28.8,19.083
630,29.1,20.516
640,25.4,14.151
650,28.5,16.645
660,24.5,9.615
670,23.0,8.567
680,26.7,11.55
690,27.6,12.225
700,25.9,10.821
710,26.0,11.162
720,32.1,15.668
730,28.4,14.437
740,41.6,31.677
750,44.0,30.053
760,58.8,32.905
770,51.1,31.44
780,51.1,32.017
790,45.6,32.484
800,44.1,23.102
810,40.4,20.996
820,46.1,27.318
830,32.9,19.562
840,58.6,27.281
850,53.4,29.217
860,49.2,29.637
870,52.7,32.373
880,58.0,24.079
890,71.8,32.289
900,70.2,34.228
910,65.0,34.966
920,39.7,16.162
930,31.2,17.73
940,31.4,20.24
950,32.0,18.281
960,36.2,12.983
970,43.7,22.685
980,71.9,23.931
990,65.4,30.388
