Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,19.0,10.564
60,43.4,21.878
70,58.3,14.114
80,33.7,9.078
90,25.5,4.544
100,12.9,2.3
110,12.7,2.283
120,11.5,1.857
130,10.6,1.356
140,11.6,2.154
150,28.0,7.141
160,15.6,5.97
170,34.9,11.193
180,72.9,25.552
190,51.5,13.063
200,22.0,9.798
210,44.3,7.156
220,44.9,7.993
230,25.0,19.261
240,82.8,34.493
250,86.8,27.393
260,85.9,14.11
270,105.7,18.216
280,89.5,37.953
290,73.5,29.997
300,119.3,41.352
310,134.5,23.842
320,142.6,18.079
330,129.1,33.237
340,154.7,23.057
350,48.3,13.108
360,87.0,22.109
370,90.8,53.894
380,109.8,20.517
390,63.3,33.401
400,70.9,25.894
410,89.2,20.508
420,60.6,9.912
430,78.2,34.591
440,52.3,9.122
450,66.1,8.7
460,69.9,8.573
470,61.1,11.344
480,45.3,17.361
490,57.2,13.295
500,59.3,14.731
510,60.2,10.127
520,64.8,4.308
530,51.4,10.965
540,49.1,16.257
550,33.3,18.445
560,42.8,19.302
570,47.9,15.378
580,45.9,18.625
590,60.8,4.468
600,52.0,15.608
610,39.0,16.625
620,25.9,17.473
630,56.4,5.463
640,43.3,19.698
650,57.4,13.381
660,20.0,3.435
670,33.2,15.078
680,28.8,16.296
690,14.0,2.72
700,16.5,3.5
710,37.5,10.132
720,14.7,2.934
730,19.8,4.167
740,42.5,15.266
750,22.1,2.737
760,45.1,22.093
770,26.5,14.962
780,32.8,11.47
790,35.9,21.314
800,17.2,3.709
810,18.5,4.225
820,18.9,3.961
830,15.4,2.835
840,20.6,3.47
850,17.3,3.068
860,63.3,14.92
870,17.0,2.683
880,16.4,2.8
890,14.6,1.908
900,21.8,15.81
910,15.0,2.049
920,36.4,24.804
930,41.2,25.019
940,29.3,21.303
950,16.9,2.7
960,14.3,1.616
970,33.9,22.958
980,33.0,20.804
990,23.2,16.792
