Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,28.1,5.665
60,10.8,1.327
70,25.7,8.283
80,31.1,14.067
90,54.8,25.767
100,58.0,28.681
110,53.7,18.863
120,108.7,38.398
130,83.5,23.959
140,88.8,12.496
150,95.2,7.332
160,72.5,11.758
170,86.2,14.098
180,93.9,10.904
190,108.5,12.46
200,99.1,13.292
210,108.3,16.626
220,87.3,21.749
230,110.5,8.686
240,229.3,50.311
250,116.5,6.136
260,115.9,57.279
270,176.0,55.116
280,97.3,15.225
290,40.1,8.154
300,228.8,132.975
310,83.7,39.131
320,70.7,14.121
330,127.0,57.089
340,100.9,31.303
350,24.1,3.27
360,57.9,7.981
370,54.2,6.03
380,34.8,13.855
390,41.9,4.636
400,66.7,14.429
410,32.8,12.488
420,50.5,4.342
430,31.3,10.04
440,28.9,12.581
450,50.5,3.324
460,19.7,2.934
470,48.5,9.563
480,21.2,3.092
490,20.0,3.13
500,25.6,7.539
510,61.3,3.257
520,19.8,2.4
530,20.6,2.8
540,61.1,3.859
550,64.1,3.618
560,37.7,18.515
570,64.3,6.23
580,27.5,10.032
590,15.0,4.899
600,23.5,11.075
610,28.0,18.138
620,18.4,2.154
630,39.9,15.424
640,18.4,2.8
650,26.4,14.603
660,11.7,3.378
670,12.9,2.663
680,17.1,2.587
690,17.8,10.998
700,38.7,3.716
710,16.6,2.332
720,9.7,1.269
730,17.4,2.2
740,10.3,1.847
750,9.2,0.872
760,9.5,0.922
770,9.2,0.872
780,11.3,2.193
790,9.2,0.872
800,13.2,1.47
810,11.0,1.265
820,17.7,2.147
830,18.6,8.674
840,9.2,0.872
850,9.2,0.872
860,9.2,0.872
870,9.2,0.872
880,9.2,0.872
890,9.2,0.872
900,9.2,0.872
910,9.2,0.872
920,9.2,0.872
930,9.2,0.872
940,9.2,0.872
950,9.5,0.806
960,9.5,0.806
970,9.2,0.872
980,9.2,0.872
990,9.2,0.872
