Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,18.5,10.519
60,38.8,8.818
70,18.7,3.976
80,10.7,1.418
90,13.5,2.335
100,20.3,5.255
110,26.3,10.891
120,39.4,8.369
130,38.4,10.298
140,48.8,15.497
150,37.8,10.137
160,48.3,16.389
170,72.9,28.539
180,46.0,14.457
190,79.4,27.354
200,85.4,17.229
210,74.5,23.926
220,71.5,10.948
230,61.0,9.685
240,79.4,33.589
250,78.4,22.344
260,70.1,23.184
270,69.9,21.417
280,61.8,17.081
290,57.6,16.415
300,86.0,31.487
310,78.6,18.473
320,88.1,25.712
330,59.5,7.749
340,55.4,7.645
350,75.6,21.992
360,95.1,23.7
370,90.8,14.302
380,66.3,16.426
390,71.4,20.368
400,67.0,20.765
410,77.4,29.138
420,56.5,5.784
430,70.8,30.033
440,30.6,14.807
450,34.5,15.983
460,60.7,18.094
470,58.1,13.141
480,41.0,16.994
490,79.4,25.734
500,39.1,19.201
510,51.9,6.123
520,77.7,19.329
530,56.9,4.549
540,42.8,17.145
550,38.8,18.819
560,60.5,4.544
570,21.1,3.807
580,32.5,15.951
590,29.1,11.844
600,20.7,3.796
610,20.8,4.02
620,20.3,3.635
630,19.6,3.878
640,19.2,3.97
650,36.9,20.265
660,52.8,5.192
670,24.0,11.0
680,21.1,3.78
690,29.8,16.455
700,20.4,3.693
710,31.6,13.086
720,24.1,9.47
730,20.7,3.9
740,20.3,3.716
750,15.0,2.569
760,19.4,3.441
770,18.8,3.187
780,19.9,3.3
790,17.5,2.202
800,15.7,2.326
810,19.0,2.966
820,16.6,2.538
830,16.1,2.343
840,17.5,2.655
850,18.5,2.872
860,27.2,11.873
870,42.5,23.691
880,13.7,2.648
890,15.3,3.035
900,16.0,2.236
910,16.5,2.419
920,17.9,2.625
930,16.8,2.088
940,19.9,3.33
950,15.9,2.256
960,15.6,2.289
970,15.3,2.238
980,9.2,0.872
990,9.2,0.872
