Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,18.5,10.519
60,45.8,10.638
70,48.3,9.727
80,34.4,8.114
90,48.7,11.349
100,37.3,10.0
110,32.4,11.783
120,11.2,3.059
130,19.8,9.207
140,9.2,0.872
150,14.2,5.455
160,9.2,0.872
170,17.9,7.273
180,9.9,2.211
190,16.2,7.359
200,17.7,8.307
210,12.4,4.673
220,11.5,4.41
230,17.0,7.797
240,15.5,6.917
250,15.2,6.063
260,16.6,7.074
270,16.4,6.468
280,12.3,5.967
290,12.9,6.963
300,9.2,0.872
310,15.6,7.977
320,15.8,8.34
330,15.2,15.125
340,14.7,6.149
350,16.8,7.125
360,19.6,8.523
370,10.9,3.36
380,10.2,2.713
390,21.8,13.673
400,21.8,14.784
410,17.2,10.656
420,25.2,16.086
430,23.6,14.513
440,14.3,9.93
450,21.5,15.246
460,30.2,15.131
470,49.4,32.803
480,17.0,11.072
490,27.3,11.073
500,23.8,16.952
510,9.4,0.663
520,21.7,14.471
530,22.6,10.763
540,32.6,15.888
550,9.4,1.356
560,14.4,7.8
570,32.2,7.859
580,15.3,9.22
590,14.8,8.352
600,19.4,9.942
610,9.3,1.1
620,15.2,7.373
630,30.0,12.247
640,9.3,1.1
650,13.6,8.605
660,18.5,10.279
670,35.9,20.579
680,39.2,20.233
690,29.1,10.587
700,16.2,10.534
710,20.9,14.983
720,19.7,6.543
730,29.3,7.875
740,15.7,9.768
750,25.3,10.12
760,31.8,11.948
770,34.6,12.233
780,16.0,10.109
790,25.3,10.826
800,19.3,7.938
810,19.0,8.025
820,17.4,9.902
830,19.4,9.541
840,12.1,4.11
850,20.6,8.89
860,19.7,9.519
870,25.4,7.214
880,21.1,7.106
890,29.1,8.043
900,25.1,6.268
910,30.0,7.772
920,20.2,10.088
930,19.8,11.125
940,27.6,4.247
950,14.4,4.565
960,18.2,11.044
970,19.2,6.882
980,15.6,9.552
990,29.5,8.053
