Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,18.5,10.519
60,49.7,20.533
70,35.3,7.747
80,34.3,7.156
90,39.8,7.277
100,43.7,7.226
110,37.2,6.03
120,33.3,6.914
130,24.2,5.724
140,24.7,7.308
150,23.9,7.463
160,21.3,5.021
170,19.0,4.817
180,21.7,8.149
190,16.5,5.464
200,21.8,8.75
210,25.5,10.726
220,17.0,5.292
230,15.0,4.669
240,22.5,10.052
250,22.8,8.92
260,14.3,4.961
270,21.4,9.499
280,21.5,9.405
290,17.5,6.376
300,20.1,9.904
310,15.5,5.239
320,16.5,6.087
330,17.5,6.531
340,10.1,2.3
350,15.0,6.164
360,12.4,3.639
370,16.7,6.262
380,15.5,5.334
390,13.7,5.478
400,10.4,2.764
410,19.7,8.81
420,20.2,9.031
430,9.4,1.2
440,23.1,21.515
450,23.4,8.126
460,9.2,0.872
470,19.2,10.068
480,19.5,9.447
490,17.8,9.196
500,25.8,8.852
510,9.2,0.872
520,12.7,5.832
530,15.4,8.754
540,14.4,6.515
550,18.1,8.191
560,12.1,4.549
570,18.7,7.564
580,21.3,8.753
590,24.8,10.768
600,19.6,8.381
610,18.6,8.114
620,31.7,11.866
630,9.9,2.3
640,16.1,6.92
650,11.7,4.496
660,26.2,11.729
670,21.4,8.151
680,16.1,8.526
690,10.8,3.894
700,10.5,3.557
710,24.0,10.227
720,18.1,7.661
730,16.7,7.267
740,14.2,7.756
750,12.3,5.139
760,19.5,9.309
770,18.5,8.628
780,19.9,8.227
790,20.3,8.533
800,23.2,10.852
810,23.0,11.498
820,15.6,6.391
830,9.4,0.663
840,11.6,4.923
850,24.0,11.234
860,19.6,8.476
870,11.6,4.923
880,18.8,8.085
890,11.6,4.923
900,28.7,18.714
910,29.5,26.613
920,30.9,17.609
930,30.9,17.609
940,24.7,14.779
950,20.9,14.089
960,16.9,7.273
970,27.4,13.937
980,20.9,9.534
990,16.1,7.752
