Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,18.5,10.519
60,20.8,5.776
70,32.7,9.122
80,25.5,11.876
90,19.7,13.222
100,12.8,12.081
110,12.5,8.237
120,20.8,8.841
130,11.2,4.142
140,11.3,6.664
150,11.7,6.664
160,20.0,8.832
170,17.3,8.661
180,20.2,10.581
190,14.2,7.181
200,20.0,7.912
210,22.7,10.257
220,15.6,8.188
230,24.4,8.44
240,15.5,7.619
250,23.5,8.594
260,20.5,7.27
270,20.5,5.536
280,20.7,7.811
290,21.2,7.507
300,16.0,5.604
310,17.3,6.827
320,20.6,7.838
330,21.6,10.911
340,25.0,6.648
350,17.6,7.074
360,10.9,3.885
370,19.8,6.508
380,27.2,4.996
390,19.6,7.269
400,23.8,6.983
410,21.8,5.546
420,18.5,6.391
430,24.8,5.758
440,17.2,6.809
450,9.5,0.806
460,22.2,7.373
470,16.7,7.184
480,17.0,7.43
490,22.0,7.655
500,15.9,5.735
510,15.0,9.22
520,22.4,7.952
530,25.1,9.449
540,26.5,5.353
550,11.1,3.673
560,21.7,7.862
570,25.9,6.024
580,11.3,2.326
590,25.6,5.8
600,17.8,5.325
610,25.6,6.248
620,11.5,2.579
630,30.1,7.286
640,9.4,1.356
650,9.6,1.562
660,25.6,5.987
670,23.8,7.574
680,22.6,5.783
690,24.8,7.139
700,24.7,9.317
710,21.1,7.063
720,9.4,0.663
730,27.4,8.535
740,22.6,7.8
750,10.4,3.262
760,9.4,0.663
770,13.4,4.341
780,19.3,6.404
790,18.5,7.487
800,9.4,0.663
810,21.5,6.975
820,23.1,8.264
830,9.4,0.663
840,14.0,2.72
850,19.5,6.168
860,24.6,7.06
870,17.2,6.177
880,24.9,8.043
890,14.9,3.176
900,21.0,6.693
910,15.4,5.181
920,20.1,6.949
930,10.0,1.612
940,13.1,3.081
950,10.2,1.72
960,22.6,6.696
970,20.4,8.333
980,23.2,8.01
990,23.3,9.067
