Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,42.6,9.749
60,21.2,4.19
70,20.1,5.127
80,23.0,9.602
90,50.3,27.745
100,93.6,40.971
110,54.3,41.512
120,95.5,51.527
130,87.5,45.818
140,87.5,26.949
150,78.1,27.201
160,85.6,49.932
170,80.4,31.145
180,104.1,31.507
190,118.9,29.794
200,103.5,35.92
210,9.4,0.663
220,9.9,0.943
230,9.4,0.663
240,9.4,0.663
250,9.8,1.536
260,9.4,0.663
270,10.2,1.166
280,9.4,0.663
290,9.4,0.663
300,9.4,0.663
310,12.7,6.214
320,10.4,0.663
330,13.6,8.237
340,9.4,0.663
350,9.4,0.663
360,9.4,0.663
370,9.4,0.663
380,9.4,0.663
390,9.5,0.806
400,9.3,0.64
410,9.8,1.72
420,10.8,2.6
430,9.2,0.872
440,19.9,5.3
450,13.8,4.238
460,13.1,4.134
470,42.4,19.454
480,25.3,8.521
490,22.0,6.245
500,14.4,5.97
510,19.9,6.745
520,46.5,27.883
530,21.5,6.815
540,18.3,5.33
550,22.0,7.43
560,24.2,6.925
570,18.5,5.239
580,42.5,34.878
590,22.1,6.472
600,32.5,26.837
610,134.7,127.973
620,16.3,9.655
630,9.4,0.663
640,9.4,0.663
650,11.9,4.571
660,10.9,4.061
670,12.9,6.58
680,9.4,0.663
690,9.4,0.663
700,12.5,5.784
710,13.4,5.713
720,13.4,5.713
730,11.1,4.657
740,11.1,4.657
750,12.0,3.55
760,10.3,2.283
770,12.8,4.976
780,14.1,4.969
790,9.4,0.663
800,13.9,4.908
810,42.8,15.549
820,15.2,10.703
830,26.0,14.255
840,25.5,11.509
850,34.3,6.512
860,22.5,7.159
870,15.2,10.167
880,16.3,11.455
890,20.3,5.849
900,17.5,15.603
910,18.5,6.281
920,16.9,5.941
930,15.7,11.619
940,17.7,5.178
950,14.1,5.822
960,16.4,13.61
970,19.5,15.344
980,13.4,5.517
990,16.4,16.064
