Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,37.6,22.348
60,64.1,19.588
70,29.0,5.797
80,12.9,2.166
90,10.3,1.1
100,19.7,4.291
110,15.0,2.683
120,20.6,5.044
130,15.0,2.898
140,13.4,2.939
150,24.0,8.367
160,39.1,18.939
170,41.5,28.444
180,58.0,19.96
190,50.0,32.985
200,66.3,34.173
210,8.9,0.7
220,9.4,0.663
230,9.4,0.663
240,9.4,0.663
250,9.4,0.663
260,9.4,0.663
270,10.8,0.872
280,12.5,1.285
290,27.7,4.36
300,13.4,1.2
310,9.8,0.872
320,13.2,1.249
330,10.9,1.044
340,9.4,0.663
350,17.7,1.676
360,11.2,1.077
370,10.0,0.894
380,14.0,1.265
390,9.5,0.806
400,12.9,1.375
410,9.4,0.663
420,42.1,24.574
430,19.3,3.579
440,18.3,3.635
450,14.0,2.28
460,14.2,2.182
470,11.2,1.536
480,11.2,1.661
490,11.0,1.549
500,11.1,1.7
510,10.0,1.265
520,10.4,1.356
530,9.7,1.187
540,9.2,0.872
550,9.2,0.872
560,9.4,1.02
570,9.2,0.872
580,9.4,1.02
590,9.2,0.872
600,9.2,0.872
610,20.8,2.926
620,21.9,2.948
630,15.9,1.868
640,12.5,1.285
650,13.1,1.044
660,12.8,1.47
670,16.3,1.952
680,11.2,1.249
690,12.8,1.47
700,15.4,1.8
710,15.3,1.735
720,15.5,1.746
730,13.9,1.3
740,11.4,0.917
750,93.1,3.33
760,13.2,1.249
770,12.9,1.375
780,12.8,1.47
790,13.1,1.221
800,12.8,1.47
810,9.4,0.663
820,8.9,0.7
830,9.2,0.872
840,9.2,0.872
850,9.2,0.872
860,9.2,0.872
870,9.2,0.872
880,9.2,0.872
890,9.2,0.872
900,9.2,0.872
910,9.2,0.872
920,9.2,0.872
930,9.2,0.872
940,9.2,0.872
950,9.2,0.872
960,9.2,0.872
970,9.2,0.872
980,9.2,0.872
990,9.2,0.872
