Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,26.4,15.97
60,29.7,20.616
70,43.7,21.689
80,40.3,8.026
90,31.8,7.507
100,24.7,4.473
110,20.7,4.196
120,21.2,4.045
130,21.2,3.945
140,16.6,2.905
150,9.2,0.872
160,9.2,0.872
170,12.7,2.052
180,19.3,3.662
190,17.3,3.132
200,18.7,3.407
210,36.4,7.787
220,49.6,18.789
230,52.0,19.011
240,48.3,11.0
250,58.4,12.46
260,69.9,19.877
270,69.7,25.199
280,68.0,25.803
290,56.0,7.707
300,56.4,8.102
310,57.2,8.6
320,58.0,10.159
330,61.8,18.093
340,53.0,7.294
350,54.8,11.179
360,49.8,6.079
370,50.8,7.909
380,49.9,6.715
390,48.1,7.203
400,46.3,6.694
410,45.6,8.89
420,44.7,15.634
430,43.6,13.2
440,42.5,10.966
450,44.1,10.587
460,44.2,10.438
470,43.7,9.92
480,40.7,8.307
490,37.8,6.969
500,32.4,7.526
510,24.0,3.688
520,21.2,3.763
530,19.4,3.2
540,16.7,2.9
550,14.8,2.135
560,14.3,2.193
570,12.1,1.513
580,11.3,1.552
590,10.6,1.2
600,9.7,1.187
610,11.4,2.498
620,9.4,0.663
630,9.9,0.943
640,12.2,1.166
650,13.3,1.616
660,15.8,1.99
670,16.2,2.272
680,18.1,2.256
690,20.4,2.577
700,20.6,2.691
710,19.4,2.577
720,18.0,2.28
730,18.4,2.245
740,20.8,2.926
750,21.4,2.728
760,21.8,2.926
770,20.8,2.926
780,20.8,2.926
790,20.8,2.926
800,22.5,2.872
810,21.6,2.8
820,16.8,2.227
830,15.0,1.612
840,14.8,1.6
850,13.8,1.166
860,12.9,1.513
870,12.1,1.136
880,11.1,1.136
890,10.7,0.9
900,10.7,2.9
910,11.1,3.618
920,11.0,3.13
930,11.4,2.498
940,10.4,1.625
950,10.2,1.4
960,9.9,1.136
970,9.7,1.1
980,9.2,0.98
990,9.0,0.775
