Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,24.8,15.715
50,35.3,9.001
60,19.3,4.584
70,19.8,4.261
80,22.4,4.673
90,26.7,5.216
100,22.8,5.154
110,38.2,11.33
120,43.4,13.793
130,45.6,13.829
140,53.4,27.717
150,45.7,14.409
160,37.1,10.222
170,23.0,4.123
180,15.4,3.904
190,9.2,0.872
200,9.2,0.872
210,10.8,3.763
220,13.7,6.856
230,33.9,22.034
240,74.2,27.817
250,43.0,25.546
260,26.4,7.658
270,12.0,3.098
280,9.2,0.872
290,9.2,0.872
300,9.2,0.872
310,34.4,26.65
320,35.5,5.987
330,36.6,6.606
340,39.6,6.681
350,37.3,7.015
360,21.4,4.454
370,12.4,3.072
380,12.1,4.011
390,9.2,0.872
400,9.2,0.872
410,9.5,0.806
420,18.0,1.949
430,17.9,2.256
440,21.0,3.256
450,20.1,3.113
460,26.1,10.719
470,20.3,4.473
480,11.4,2.538
490,9.2,0.872
500,9.2,0.872
510,9.4,0.663
520,23.1,6.074
530,43.3,26.469
540,38.8,14.811
550,39.9,16.14
560,23.5,4.588
570,20.5,4.031
580,16.2,3.092
590,10.2,2.4
600,9.2,0.872
610,15.1,1.7
620,22.4,2.764
630,24.2,3.341
640,31.2,4.833
650,30.7,4.859
660,31.6,9.013
670,16.4,2.973
680,13.2,2.04
690,11.7,2.002
700,9.2,0.872
710,9.4,0.663
720,9.4,0.663
730,12.2,1.166
740,14.5,1.565
750,15.5,1.803
760,23.7,7.511
770,14.1,3.506
780,10.6,2.417
790,13.9,2.548
800,14.5,2.419
810,10.3,3.068
820,9.4,0.663
830,9.4,0.663
840,19.0,2.098
850,22.9,5.522
860,27.0,7.836
870,11.8,2.786
880,13.5,4.588
890,19.9,4.571
900,15.8,3.516
910,9.4,0.663
920,20.1,10.406
930,18.9,12.07
940,21.7,10.296
950,26.8,8.588
960,28.9,6.685
970,30.0,7.443
980,31.6,7.697
990,22.1,5.029
