Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,60.0,35.06
60,42.2,6.75
70,43.6,6.666
80,47.0,9.088
90,62.0,19.427
100,64.9,17.53
110,9.4,0.663
120,9.2,0.872
130,9.2,0.872
140,9.2,0.872
150,9.2,0.872
160,93.0,27.47
170,56.3,13.572
180,48.4,14.921
190,52.2,10.889
200,52.6,10.716
210,9.4,0.663
220,9.5,0.671
230,9.5,0.671
240,9.2,0.872
250,9.2,0.748
260,42.2,10.543
270,51.6,12.101
280,55.1,37.201
290,53.7,35.578
300,46.7,13.857
310,9.4,0.663
320,9.4,0.663
330,9.4,0.663
340,9.4,0.663
350,9.4,0.663
360,14.7,2.1
370,14.7,2.1
380,14.7,2.1
390,12.0,1.414
400,12.0,1.414
410,9.4,0.663
420,9.4,0.663
430,9.4,0.663
440,9.4,0.663
450,9.4,0.663
460,9.2,0.872
470,15.9,2.022
480,14.5,2.012
490,12.1,1.513
500,11.7,1.1
510,9.4,0.663
520,9.4,0.663
530,9.4,0.663
540,9.4,0.663
550,9.4,0.663
560,9.2,0.872
570,13.9,1.375
580,14.2,1.47
590,9.2,0.872
600,9.2,0.872
610,9.4,0.663
620,9.4,0.663
630,9.4,0.663
640,9.4,0.663
650,9.4,0.663
660,9.2,0.872
670,9.2,0.872
680,9.2,0.872
690,9.2,0.872
700,9.2,0.872
710,9.4,0.663
720,9.4,0.663
730,9.4,0.663
740,9.4,0.663
750,9.4,0.663
760,9.2,0.872
770,9.2,0.872
780,9.2,0.872
790,9.2,0.872
800,9.2,0.872
810,9.4,0.663
820,9.4,0.663
830,9.4,0.663
840,9.4,0.663
850,9.4,0.663
860,9.2,0.872
870,9.2,0.872
880,9.2,0.872
890,9.2,0.872
900,9.2,0.872
910,9.4,0.663
920,9.4,0.663
930,9.4,0.663
940,9.4,0.663
950,9.4,0.663
960,9.2,0.872
970,9.2,0.872
980,9.2,0.872
990,9.2,0.872
