Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,70.3,24.678
60,76.5,12.444
70,45.5,7.06
80,54.9,12.292
90,67.1,32.862
100,63.6,11.646
110,104.5,21.11
120,62.1,9.418
130,82.1,20.569
140,85.8,8.412
150,82.2,7.6
160,33.0,8.672
170,30.9,7.993
180,33.4,9.749
190,37.6,13.132
200,19.5,5.608
210,15.6,5.238
220,13.1,4.46
230,14.1,10.812
240,8.9,0.7
250,8.9,0.7
260,9.3,0.64
270,8.9,0.7
280,9.5,1.025
290,13.1,8.42
300,16.6,5.352
310,12.0,3.768
320,9.4,0.663
330,12.1,3.176
340,8.9,0.7
350,10.5,3.008
360,13.3,4.196
370,13.3,5.478
380,10.5,2.802
390,14.4,4.409
400,12.5,4.129
410,11.7,3.002
420,19.8,11.187
430,9.2,0.872
440,13.5,7.131
450,9.3,1.1
460,9.0,0.632
470,9.9,2.844
480,20.2,10.294
490,14.1,9.192
500,15.5,9.636
510,8.9,0.7
520,13.8,8.577
530,18.0,6.181
540,21.0,8.497
550,11.7,5.274
560,18.9,8.608
570,11.4,5.083
580,14.2,7.587
590,13.1,7.569
600,17.9,8.031
610,20.7,7.457
620,25.6,10.651
630,20.1,10.319
640,28.5,14.424
650,9.7,1.952
660,18.5,8.188
670,17.9,7.314
680,9.2,0.872
690,18.5,8.249
700,14.9,7.569
710,22.3,5.693
720,14.6,7.031
730,16.3,7.128
740,11.1,5.049
750,22.0,9.381
760,19.6,9.51
770,19.4,7.486
780,17.8,7.705
790,17.4,6.576
800,22.0,11.489
810,15.7,8.649
820,13.0,5.495
830,15.7,8.649
840,21.6,6.344
850,23.2,9.163
860,18.2,11.179
870,23.2,8.998
880,22.8,8.28
890,29.3,16.87
900,20.7,8.591
910,15.0,8.012
920,20.4,9.871
930,10.7,3.716
940,9.2,0.872
950,15.0,7.043
960,29.4,18.922
970,16.8,10.609
980,18.1,7.867
990,24.9,15.129
