Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,26.4,15.97
60,31.7,20.155
70,49.9,22.967
80,40.4,7.965
90,34.6,7.99
100,32.8,7.985
110,31.9,7.803
120,42.1,7.943
130,49.8,13.578
140,71.8,32.924
150,74.7,12.53
160,92.7,18.773
170,60.5,27.123
180,58.5,31.331
190,58.6,33.948
200,62.3,14.29
210,87.0,10.247
220,89.5,10.5
230,89.9,12.778
240,89.4,10.66
250,86.0,10.517
260,82.8,29.913
270,65.6,30.637
280,51.3,12.853
290,72.6,17.929
300,65.5,17.923
310,50.0,12.869
320,56.4,30.117
330,53.5,18.457
340,53.6,13.581
350,57.9,24.841
360,63.0,31.944
370,57.8,22.275
380,55.0,23.039
390,46.4,15.344
400,51.9,21.135
410,44.2,15.204
420,44.4,15.2
430,42.9,14.666
440,58.2,35.445
450,46.0,14.697
460,42.9,14.074
470,43.2,15.574
480,44.0,16.976
490,44.0,16.976
500,44.3,16.9
510,43.5,14.137
520,42.9,15.54
530,40.5,15.851
540,37.0,11.739
550,30.2,10.666
560,35.3,12.884
570,31.8,11.098
580,35.1,15.865
590,28.9,9.71
600,28.9,9.638
610,28.2,11.223
620,25.7,11.118
630,28.6,11.218
640,29.8,11.089
650,27.8,10.768
660,25.3,11.234
670,23.0,12.017
680,22.6,13.887
690,20.6,12.651
700,22.9,12.169
710,27.1,11.97
720,25.8,12.805
730,24.4,12.643
740,19.4,10.929
750,21.6,10.828
760,22.2,10.87
770,21.2,10.666
780,26.3,10.882
790,30.3,13.191
800,20.1,16.325
810,23.2,15.854
820,30.5,12.691
830,28.3,12.166
840,27.0,12.822
850,25.5,12.323
860,19.3,10.306
870,18.7,6.619
880,25.7,10.706
890,27.4,11.074
900,25.9,11.794
910,23.5,11.12
920,20.5,8.488
930,18.0,6.387
940,23.6,10.632
950,19.6,7.915
960,17.7,8.001
970,19.8,7.73
980,17.0,7.707
990,17.9,13.487
