Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,36.0,8.283
60,43.7,13.274
70,41.2,15.4
80,22.2,8.738
90,11.2,3.311
100,8.9,0.7
110,11.1,3.618
120,11.4,3.747
130,12.6,5.535
140,9.6,1.908
150,17.9,9.375
160,13.1,5.147
170,12.7,5.478
180,11.8,4.214
190,10.7,3.716
200,9.2,0.872
210,11.4,3.747
220,18.3,9.177
230,12.5,6.454
240,18.8,7.769
250,16.4,8.139
260,27.3,5.604
270,16.9,8.276
280,9.4,0.663
290,12.5,4.433
300,20.7,5.423
310,15.1,9.894
320,20.1,6.685
330,18.4,5.817
340,17.7,7.925
350,23.2,5.793
360,16.4,4.499
370,16.8,9.185
380,15.9,4.636
390,21.4,8.697
400,26.7,7.267
410,26.2,12.836
420,19.5,7.826
430,25.2,4.915
440,23.4,8.139
450,19.6,6.726
460,33.8,13.905
470,24.2,7.318
480,15.5,2.655
490,13.5,6.249
500,19.1,4.253
510,18.9,5.957
520,19.2,5.636
530,19.2,5.418
540,26.2,11.143
550,11.0,2.324
560,36.2,17.787
570,10.7,2.147
580,26.2,17.279
590,65.6,17.918
600,10.5,1.118
610,16.0,5.04
620,11.5,2.975
630,86.6,139.043
640,43.3,17.321
650,9.4,0.663
660,10.1,1.814
670,55.9,14.159
680,10.4,2.577
690,11.0,2.366
700,17.8,4.854
710,16.9,5.069
720,16.0,5.568
730,18.0,6.557
740,17.9,5.394
750,10.9,2.119
760,16.9,5.262
770,17.3,7.708
780,156.2,139.303
790,22.0,7.099
800,118.4,74.227
810,13.1,2.879
820,18.6,10.509
830,10.0,1.095
840,14.7,2.9
850,25.7,31.445
860,12.5,4.006
870,20.5,16.299
880,14.8,4.792
890,16.6,4.565
900,11.6,2.059
910,9.3,1.1
920,13.6,6.931
930,19.1,6.992
940,34.6,20.539
950,72.8,42.225
960,10.6,1.908
970,37.4,17.287
980,13.7,4.859
990,23.8,10.768
