Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,22.8,5.363
60,15.3,3.035
70,22.1,9.914
80,40.2,16.899
90,57.5,29.204
100,57.4,44.358
110,14.7,6.986
120,22.1,7.842
130,11.4,3.747
140,8.8,0.6
150,17.0,3.688
160,12.8,4.238
170,11.6,2.764
180,15.3,3.607
190,11.0,2.049
200,15.2,3.4
210,10.7,1.345
220,10.7,2.571
230,13.1,2.508
240,14.4,2.289
250,16.5,2.837
260,18.7,3.195
270,19.6,4.247
280,21.0,5.983
290,23.3,7.336
300,24.0,7.155
310,28.2,3.736
320,42.6,20.294
330,91.7,37.122
340,89.3,27.07
350,25.0,15.146
360,60.6,34.153
370,245.3,64.803
380,70.1,6.252
390,19.0,4.336
400,26.1,4.134
410,11.9,1.868
420,8.9,0.7
430,8.9,0.7
440,9.3,0.64
450,8.8,0.6
460,8.8,0.6
470,8.9,0.7
480,8.9,0.7
490,8.7,0.458
500,8.8,0.6
510,23.1,3.145
520,32.6,8.052
530,24.2,2.891
540,111.2,65.106
550,197.4,45.465
560,323.7,151.725
570,212.1,55.491
580,125.4,7.186
590,169.0,20.273
600,176.4,22.936
610,9.2,0.872
620,9.2,0.872
630,9.2,0.872
640,9.2,0.872
650,9.2,0.872
660,9.2,0.872
670,9.2,0.872
680,9.2,0.872
690,8.9,0.7
700,9.2,0.872
710,33.5,9.605
720,41.1,16.251
730,40.8,15.581
740,47.8,23.494
750,49.7,23.554
760,51.4,23.724
770,61.3,23.165
780,69.6,24.532
790,61.8,5.896
800,115.7,25.068
810,9.4,0.663
820,9.2,0.872
830,9.2,0.872
840,9.2,0.872
850,9.2,0.872
860,9.2,0.872
870,8.9,0.7
880,8.9,0.7
890,8.9,0.7
900,8.9,0.7
910,32.8,12.156
920,69.4,27.933
930,52.7,23.669
940,51.6,23.5
950,55.9,23.291
960,62.8,21.297
970,66.4,22.549
980,174.2,164.042
990,100.1,28.455
