Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,26.4,15.97
60,29.7,20.616
70,43.7,21.689
80,40.3,8.026
90,31.8,7.507
100,24.7,4.473
110,27.7,4.941
120,33.8,7.808
130,37.1,7.726
140,42.0,9.132
150,44.1,10.728
160,47.8,10.137
170,46.5,10.052
180,45.6,10.336
190,46.3,13.229
200,47.2,13.585
210,46.7,13.222
220,55.3,34.433
230,57.5,33.711
240,68.3,16.9
250,83.9,19.527
260,55.3,13.513
270,49.4,12.516
280,40.3,10.04
290,36.5,9.563
300,38.4,11.723
310,44.2,19.135
320,42.2,23.125
330,51.6,36.74
340,54.0,22.702
350,51.3,17.533
360,51.5,17.46
370,46.5,13.231
380,52.5,17.851
390,51.4,14.534
400,49.9,17.34
410,49.6,14.968
420,46.6,14.101
430,42.8,14.641
440,35.8,12.246
450,34.6,17.704
460,31.5,14.968
470,30.9,15.215
480,30.5,15.364
490,29.6,15.259
500,20.8,11.617
510,27.0,13.971
520,28.0,11.507
530,32.6,11.368
540,37.9,16.471
550,41.2,20.648
560,38.0,10.817
570,35.8,13.144
580,33.0,11.983
590,26.5,14.617
600,24.4,13.358
610,33.8,15.67
620,31.5,10.847
630,29.4,11.646
640,23.0,12.681
650,16.9,11.371
660,11.6,6.184
670,10.7,4.148
680,11.6,6.184
690,10.3,2.369
700,9.4,0.663
710,14.4,6.135
720,17.3,11.046
730,26.0,14.758
740,28.0,13.52
750,25.4,10.21
760,16.5,5.408
770,11.5,3.294
780,13.6,4.224
790,16.8,5.288
800,17.4,5.37
810,24.9,9.884
820,27.1,9.617
830,21.0,10.334
840,11.0,2.324
850,9.9,1.814
860,9.4,0.663
870,9.4,0.663
880,9.4,0.663
890,9.4,0.663
900,9.4,0.663
910,9.6,1.908
920,9.2,0.872
930,9.2,0.872
940,9.2,0.872
950,9.2,0.872
960,10.3,2.685
970,12.2,3.28
980,10.4,2.245
990,15.1,3.448
