Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,43.1,18.409
60,38.8,8.447
70,23.2,3.894
80,9.7,1.1
90,9.2,0.872
100,16.1,2.071
110,37.8,6.539
120,48.9,8.117
130,60.3,13.054
140,61.1,8.972
150,64.0,9.581
160,69.1,8.491
170,54.3,10.479
180,52.6,10.754
190,52.8,10.438
200,58.1,10.587
210,41.2,10.515
220,40.5,8.488
230,41.8,6.66
240,38.0,7.55
250,23.6,4.409
260,16.6,3.611
270,13.2,2.315
280,9.9,1.375
290,9.2,0.872
300,9.2,0.872
310,9.6,1.356
320,9.4,0.663
330,9.7,0.781
340,11.7,1.187
350,16.5,1.432
360,15.9,1.446
370,21.0,2.449
380,27.6,2.577
390,22.5,2.579
400,23.0,2.449
410,54.6,32.583
420,27.0,4.359
430,29.6,6.917
440,14.5,5.536
450,9.2,0.872
460,9.2,0.872
470,9.2,0.872
480,9.2,0.872
490,9.2,0.872
500,9.2,0.872
510,15.4,1.8
520,15.8,1.778
530,20.8,2.926
540,21.7,3.002
550,22.4,2.8
560,23.7,2.795
570,28.0,5.31
580,31.8,4.643
590,40.0,6.648
600,40.1,6.7
610,42.9,6.268
620,22.3,3.9
630,16.0,3.55
640,19.7,3.407
650,15.2,1.72
660,11.7,2.452
670,9.1,0.7
680,9.3,1.1
690,9.0,0.632
700,9.1,0.943
710,12.1,1.3
720,17.1,2.3
730,21.2,2.926
740,22.6,2.939
750,24.3,4.67
760,22.6,2.939
770,22.6,2.939
780,22.9,3.048
790,25.8,4.142
800,30.8,4.833
810,22.2,2.75
820,22.5,2.802
830,28.8,5.582
840,21.0,2.933
850,15.4,1.8
860,12.2,1.166
870,9.9,1.446
880,9.2,0.872
890,9.2,0.872
900,9.2,0.872
910,9.5,0.671
920,9.4,0.663
930,9.4,0.663
940,9.4,0.663
950,9.4,0.663
960,11.1,1.044
970,16.9,2.343
980,20.8,2.926
990,21.8,2.926
