Episode,mean_score,std_dev
0,9.3,0.9
10,9.3,0.9
20,9.3,0.9
30,9.3,0.9
40,9.3,0.9
50,9.3,0.9
60,9.5,0.671
70,11.5,6.888
80,10.7,1.616
90,12.1,5.735
100,9.9,1.578
110,9.6,1.02
120,9.6,1.02
130,9.4,0.663
140,9.4,0.663
150,9.8,1.249
160,11.1,2.548
170,10.1,1.64
180,10.1,1.578
190,9.5,0.806
200,10.0,1.789
210,9.4,0.663
220,9.5,0.806
230,13.4,5.731
240,13.6,4.695
250,9.9,1.814
260,9.5,0.806
270,9.4,0.663
280,9.4,0.663
290,10.6,2.289
300,9.8,1.536
310,12.4,4.2
320,10.2,2.182
330,9.4,0.663
340,9.4,0.663
350,9.4,0.663
360,9.4,0.663
370,9.4,0.663
380,9.4,0.663
390,9.4,0.663
400,9.4,0.663
410,11.5,3.138
420,9.4,0.663
430,14.8,8.471
440,10.4,2.691
450,9.6,0.917
460,13.4,5.499
470,9.4,0.663
480,9.4,0.663
490,9.6,0.917
500,9.4,0.663
510,9.4,0.663
520,9.4,0.663
530,9.4,0.663
540,16.7,9.487
550,14.4,7.915
560,11.7,2.283
570,20.3,4.627
580,9.6,0.917
590,9.6,0.917
600,9.4,0.663
610,12.8,4.4
620,9.4,0.663
630,9.4,0.663
640,13.8,3.187
650,9.4,0.663
660,9.5,0.806
670,11.6,3.137
680,9.6,0.917
690,23.6,5.352
700,16.0,6.573
710,9.6,0.917
720,9.4,0.663
730,12.4,4.984
740,13.5,5.277
750,17.1,9.934
760,9.4,0.663
770,9.4,0.663
780,9.4,0.663
790,9.4,0.663
800,9.4,0.663
810,9.4,0.663
820,21.9,5.804
830,17.4,6.844
840,10.0,1.844
850,13.6,6.576
860,20.9,7.918
870,9.4,0.663
880,20.8,5.862
890,16.5,9.135
900,21.9,4.949
910,12.7,6.694
920,23.8,5.81
930,9.4,0.663
940,10.9,2.385
950,10.8,3.868
960,22.6,11.491
970,12.5,4.674
980,9.4,0.663
990,10.6,3.852
