Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,21.0,16.248
60,16.7,3.378
70,43.7,6.679
80,99.7,30.66
90,108.7,34.589
100,71.6,9.552
110,71.9,23.505
120,86.3,19.011
130,84.9,9.741
140,24.5,7.433
150,16.5,11.638
160,28.1,11.493
170,14.5,3.138
180,9.7,1.345
190,25.6,11.11
200,39.4,19.345
210,32.6,22.2
220,18.1,10.653
230,14.3,4.92
240,26.6,8.935
250,28.1,16.015
260,13.1,2.022
270,22.8,4.02
280,23.7,3.796
290,37.1,4.805
300,21.2,3.572
310,14.0,2.569
320,25.0,9.423
330,18.2,3.187
340,14.4,2.154
350,18.6,3.231
360,30.4,13.433
370,18.9,3.39
380,14.7,2.1
390,21.6,4.565
400,26.3,10.257
410,24.6,5.314
420,20.0,3.066
430,20.5,3.528
440,20.4,9.841
450,19.1,4.805
460,15.7,2.002
470,18.8,3.219
480,17.9,5.558
490,19.9,3.936
500,15.3,1.952
510,18.5,3.106
520,19.2,7.305
530,16.7,2.648
540,14.5,2.012
550,17.4,3.105
560,16.8,5.25
570,14.3,2.326
580,12.6,1.908
590,12.9,3.59
600,13.9,6.284
610,17.9,3.477
620,12.2,1.536
630,22.7,8.075
640,17.7,7.156
650,14.9,2.948
660,10.4,1.281
670,11.7,3.407
680,12.1,1.375
690,27.0,7.912
700,13.5,2.377
710,15.4,3.137
720,12.0,1.483
730,18.4,5.851
740,11.3,1.9
750,10.5,1.36
760,11.3,3.551
770,18.2,4.445
780,11.0,1.549
790,14.6,3.231
800,17.4,5.8
810,9.4,0.663
820,14.4,2.871
830,10.9,1.513
840,15.2,4.854
850,17.3,3.607
860,13.6,2.577
870,9.4,0.917
880,11.5,2.291
890,14.5,2.941
900,11.4,2.289
910,15.9,4.392
920,11.1,1.136
930,15.0,3.162
940,11.6,1.908
950,9.2,0.872
960,15.7,5.041
970,15.7,2.648
980,10.2,1.72
990,9.2,0.872
