Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,26.6,17.636
60,13.2,2.482
70,10.7,1.418
80,15.8,4.045
90,20.7,8.787
100,17.2,10.496
110,9.2,0.748
120,10.7,3.035
130,11.6,3.929
140,8.9,0.7
150,9.0,0.775
160,9.3,1.418
170,9.2,0.872
180,17.4,7.017
190,13.0,4.837
200,15.1,5.54
210,9.2,0.872
220,9.2,0.872
230,9.2,0.872
240,9.2,0.872
250,9.2,0.872
260,9.2,0.872
270,9.2,0.872
280,9.2,0.872
290,9.2,0.872
300,9.2,0.872
310,25.4,5.181
320,28.0,8.532
330,18.0,3.435
340,47.8,23.211
350,29.6,15.506
360,58.0,21.466
370,16.0,2.098
380,110.1,41.724
390,109.7,26.758
400,28.0,16.667
410,9.2,0.748
420,9.2,0.872
430,9.2,0.872
440,9.1,0.7
450,8.9,0.7
460,8.9,0.7
470,8.9,0.7
480,9.2,0.748
490,8.9,0.7
500,9.1,0.7
510,27.3,3.132
520,42.8,6.94
530,52.8,6.75
540,43.9,6.252
550,42.9,5.941
560,66.3,24.021
570,61.8,20.366
580,42.4,18.543
590,42.6,17.811
600,48.0,29.083
610,9.2,0.872
620,9.2,0.872
630,9.2,0.872
640,8.9,0.7
650,9.1,0.7
660,9.2,0.872
670,9.2,0.872
680,9.2,0.872
690,9.2,0.872
700,8.9,0.7
710,13.9,1.513
720,21.5,2.729
730,49.5,23.901
740,55.1,24.898
750,72.5,54.313
760,51.8,24.132
770,76.4,62.46
780,88.7,64.206
790,93.2,79.654
800,75.7,60.782
810,59.6,23.483
820,57.4,19.795
830,67.2,20.59
840,10.5,0.671
850,9.4,0.663
860,9.4,0.663
870,9.4,0.663
880,9.5,0.671
890,9.4,0.663
900,9.3,0.781
910,9.2,0.872
920,12.8,1.778
930,75.2,30.912
940,55.4,24.038
950,56.6,24.134
960,59.1,24.122
970,63.0,24.042
980,58.5,24.101
990,59.0,23.942
