Episode,mean_score,std_dev
0,9.5,1.5
10,9.5,1.5
20,9.5,1.5
30,9.5,1.5
40,9.5,1.5
50,8.9,0.831
60,8.9,0.831
70,8.9,0.831
80,8.9,0.831
90,26.6,9.436
100,32.5,14.257
110,122.1,135.918
120,9.9,0.831
130,52.1,35.932
140,55.9,17.444
150,45.5,12.396
160,44.9,17.467
170,47.7,28.203
180,48.7,31.113
190,51.5,31.039
200,51.5,30.546
210,35.2,10.196
220,24.9,3.91
230,19.8,3.311
240,8.9,0.831
250,8.9,0.831
260,8.9,0.831
270,8.9,0.831
280,9.7,0.781
290,9.7,0.781
300,9.7,0.781
310,9.7,0.781
320,23.2,5.095
330,52.6,27.001
340,51.9,18.442
350,58.6,12.555
360,43.5,11.994
370,42.5,14.334
380,45.4,13.603
390,48.7,12.522
400,48.3,14.927
410,34.4,11.792
420,19.1,4.867
430,11.6,1.908
440,11.1,1.758
450,11.1,1.221
460,9.7,0.781
470,9.7,0.781
480,9.7,0.781
490,9.7,0.781
500,9.7,0.781
510,11.0,1.612
520,22.9,6.3
530,8.9,0.831
540,24.9,11.597
550,46.8,15.374
560,41.5,19.185
570,45.7,19.581
580,49.7,33.392
590,51.1,27.523
600,51.5,20.274
610,47.0,30.265
620,22.1,4.549
630,19.2,4.665
640,13.0,2.049
650,11.7,1.418
660,11.6,1.96
670,8.9,0.831
680,10.4,0.917
690,9.7,0.781
700,9.7,0.781
710,9.7,0.781
720,9.7,0.781
730,12.9,1.758
740,16.8,2.638
750,26.4,4.128
760,66.6,24.824
770,52.6,25.492
780,42.9,19.634
790,51.6,24.504
800,66.9,18.987
810,32.1,10.222
820,26.8,4.285
830,20.8,4.643
840,18.2,3.6
850,17.2,3.311
860,18.2,3.842
870,9.6,1.2
880,8.9,0.831
890,8.9,0.831
900,8.9,0.831
910,8.9,0.831
920,9.7,0.781
930,10.5,1.025
940,11.4,1.02
950,14.9,1.64
960,19.2,2.227
970,72.0,4.796
980,142.8,15.309
990,220.3,55.404
