Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,26.4,15.97
60,29.7,20.616
70,43.1,21.319
80,43.7,8.331
90,33.7,8.137
100,32.3,7.772
110,27.3,5.12
120,23.1,4.763
130,17.8,3.919
140,14.8,3.219
150,11.5,2.062
160,11.2,1.887
170,17.0,4.45
180,26.8,7.521
190,34.8,8.158
200,37.4,8.546
210,39.3,8.911
220,41.6,10.442
230,45.0,10.488
240,44.5,10.679
250,45.0,10.488
260,43.1,10.387
270,42.9,10.464
280,45.7,13.138
290,43.1,7.286
300,42.6,9.047
310,60.0,27.684
320,53.5,25.272
330,40.7,7.603
340,42.3,12.72
350,40.9,12.542
360,36.2,6.21
370,34.9,7.273
380,33.1,8.276
390,31.5,8.628
400,24.8,10.058
410,20.5,9.667
420,17.3,9.456
430,22.5,11.298
440,27.3,10.286
450,24.0,10.266
460,24.9,9.449
470,28.0,9.284
480,26.3,9.809
490,24.5,10.707
500,25.1,9.617
510,18.5,8.334
520,19.0,9.818
530,24.0,9.778
540,21.2,9.152
550,23.5,9.405
560,16.9,7.382
570,13.7,3.662
580,25.6,11.173
590,23.6,9.189
600,19.7,8.615
610,14.8,7.026
620,12.9,7.726
630,19.6,11.377
640,19.3,6.558
650,19.1,5.629
660,24.7,9.592
670,28.8,10.008
680,20.1,10.765
690,28.1,9.792
700,26.7,9.187
710,25.3,7.417
720,21.3,6.649
730,21.2,7.318
740,18.5,8.652
750,18.7,8.741
760,17.1,5.3
770,15.5,4.759
780,18.0,6.678
790,17.0,8.379
800,16.6,5.257
810,13.1,4.679
820,12.7,4.776
830,13.9,4.527
840,12.9,4.908
850,12.2,4.665
860,12.0,4.0
870,14.1,5.449
880,21.4,10.375
890,15.6,6.576
900,24.2,9.826
910,19.9,11.004
920,16.5,9.113
930,11.3,4.451
940,19.3,8.149
950,20.4,7.851
960,12.9,5.166
970,13.7,5.78
980,20.5,9.952
990,23.9,9.751
