Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,20.4,10.566
60,23.6,12.314
70,30.1,8.018
80,11.1,1.7
90,9.2,0.872
100,21.8,4.936
110,23.2,4.622
120,26.5,6.281
130,33.1,8.006
140,37.7,8.283
150,44.6,9.167
160,74.0,25.683
170,58.1,20.152
180,59.3,19.016
190,59.9,21.054
200,38.0,7.43
210,38.7,9.706
220,59.6,20.626
230,48.6,19.242
240,32.9,10.719
250,42.3,19.84
260,34.5,20.747
270,16.6,9.499
280,22.9,9.268
290,20.6,11.868
300,23.1,19.634
310,16.0,10.08
320,11.5,5.201
330,11.3,4.124
340,14.3,5.551
350,12.1,2.844
360,12.2,5.269
370,14.0,4.817
380,12.1,4.784
390,10.9,4.182
400,16.0,4.648
410,17.7,3.579
420,16.3,3.743
430,16.1,4.134
440,16.0,3.924
450,14.9,3.015
460,12.5,2.419
470,13.3,2.238
480,13.3,3.378
490,10.6,2.538
500,12.1,3.477
510,10.9,1.044
520,12.8,2.75
530,11.9,3.015
540,14.5,1.962
550,14.1,4.182
560,13.9,3.33
570,11.9,3.859
580,10.4,1.114
590,10.3,2.369
600,11.1,2.625
610,9.9,1.3
620,9.7,1.005
630,10.3,2.193
640,12.5,5.045
650,10.4,2.154
660,10.0,2.049
670,9.2,0.872
680,20.0,8.521
690,16.7,6.724
700,12.8,5.455
710,15.5,4.717
720,16.2,10.008
730,10.4,2.691
740,12.3,3.926
750,13.3,3.579
760,11.3,2.002
770,13.5,9.79
780,25.7,7.747
790,15.3,9.778
800,13.8,8.447
810,20.9,10.054
820,17.1,11.211
830,21.9,11.353
840,27.9,10.483
850,12.9,8.215
860,24.1,9.386
870,25.1,10.124
880,17.7,11.305
890,18.7,11.42
900,24.2,9.108
910,12.3,6.017
920,22.3,9.155
930,24.9,8.491
940,14.8,8.553
950,18.9,8.538
960,29.4,15.794
970,15.6,9.8
980,25.1,8.757
990,22.0,12.578
