Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,25.2,4.622
60,9.2,0.872
70,35.7,21.513
80,49.7,9.94
90,52.9,21.319
100,54.2,15.549
110,51.2,22.436
120,35.1,19.321
130,38.8,23.832
140,15.6,6.232
150,16.9,4.23
160,14.3,3.662
170,14.5,2.766
180,12.1,2.548
190,12.0,2.098
200,12.9,2.773
210,9.2,0.872
220,10.1,1.136
230,8.9,0.7
240,9.2,0.872
250,10.0,2.049
260,18.5,8.417
270,17.6,7.365
280,22.7,6.798
290,23.5,6.344
300,21.4,5.625
310,20.8,5.528
320,31.3,8.21
330,23.7,6.198
340,18.1,4.3
350,21.8,6.194
360,26.6,4.923
370,22.8,6.369
380,26.1,6.252
390,27.5,5.353
400,23.2,11.898
410,28.4,4.8
420,26.2,5.6
430,20.5,5.045
440,21.4,6.151
450,18.7,4.473
460,24.0,7.861
470,29.3,6.23
480,25.5,6.727
490,25.2,4.094
500,14.6,2.417
510,15.1,2.427
520,22.1,4.888
530,17.7,8.45
540,21.0,9.165
550,18.3,7.484
560,16.6,1.908
570,21.0,9.022
580,14.7,2.193
590,14.9,2.343
600,14.8,2.6
610,21.6,9.51
620,20.5,6.454
630,20.3,4.026
640,10.9,3.081
650,9.9,1.7
660,24.4,30.696
670,23.4,11.655
680,37.4,17.665
690,30.0,5.983
700,20.0,3.578
710,14.9,1.868
720,16.0,2.191
730,17.8,12.032
740,24.3,6.246
750,24.8,5.776
760,24.3,5.849
770,23.0,9.737
780,26.8,22.18
790,26.9,10.124
800,9.4,0.663
810,24.4,7.927
820,28.9,7.943
830,26.0,4.899
840,26.0,5.235
850,15.8,3.28
860,43.0,7.169
870,16.6,2.154
880,16.9,1.868
890,18.9,16.961
900,23.8,23.069
910,10.8,1.4
920,34.2,8.931
930,45.4,9.489
940,39.4,9.436
950,29.9,5.394
960,27.7,4.981
970,26.4,22.473
980,18.1,1.814
990,33.6,18.853
