Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,17.9,11.836
60,35.9,27.016
70,56.0,26.291
80,52.4,14.158
90,48.2,15.658
100,50.2,15.715
110,47.2,16.485
120,49.6,28.654
130,59.5,18.145
140,65.7,35.043
150,51.9,31.967
160,44.7,15.78
170,36.4,10.375
180,52.3,21.85
190,33.9,5.787
200,36.0,4.147
210,62.1,14.432
220,67.8,22.622
230,51.2,8.623
240,50.1,16.688
250,66.9,17.552
260,37.2,9.464
270,44.3,19.504
280,10.7,1.676
290,20.3,4.776
300,10.6,2.154
310,9.2,0.872
320,9.5,1.118
330,9.2,0.872
340,12.5,6.83
350,9.2,0.872
360,9.2,0.872
370,9.5,1.962
380,9.2,0.872
390,11.5,3.956
400,11.5,7.527
410,11.6,5.481
420,11.4,3.929
430,11.0,5.404
440,9.4,0.663
450,40.6,13.727
460,65.3,28.047
470,25.6,11.96
480,38.9,10.044
490,9.4,0.663
500,26.6,11.893
510,9.4,0.663
520,34.0,11.358
530,37.1,8.769
540,11.7,5.533
550,35.8,8.232
560,15.0,9.187
570,40.3,12.28
580,38.3,11.055
590,25.8,7.574
600,32.0,6.826
610,28.5,9.811
620,18.0,9.623
630,35.8,10.833
640,23.3,5.533
650,28.2,7.125
660,9.4,0.663
670,30.6,11.842
680,15.3,7.072
690,26.6,9.604
700,26.8,10.018
710,9.4,0.663
720,9.4,0.663
730,10.6,3.292
740,30.5,13.344
750,25.8,13.037
760,34.8,21.381
770,23.5,10.452
780,25.3,9.529
790,26.6,6.741
800,9.2,0.872
810,21.0,10.63
820,9.7,1.792
830,9.4,1.685
840,22.6,15.92
850,33.5,11.952
860,35.9,14.089
870,11.9,7.726
880,9.4,0.663
890,9.2,0.872
900,14.4,7.13
910,9.3,1.1
920,11.4,4.543
930,19.3,7.363
940,20.6,14.284
950,9.1,0.943
960,12.5,6.5
970,28.8,14.253
980,24.0,13.244
990,32.0,12.28
