Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,14.7,7.616
60,24.9,16.926
70,61.2,19.959
80,31.1,7.049
90,30.7,6.768
100,11.7,1.9
110,15.3,2.722
120,13.5,2.377
130,11.5,1.565
140,13.5,2.377
150,13.7,2.571
160,13.4,2.835
170,13.0,3.033
180,21.6,13.522
190,14.5,4.129
200,19.4,7.632
210,44.8,25.123
220,39.4,32.861
230,43.3,31.8
240,34.9,24.942
250,41.7,31.11
260,25.2,8.424
270,46.0,43.603
280,32.3,24.932
290,38.4,37.356
300,60.5,23.733
310,51.5,34.311
320,62.1,38.07
330,109.7,34.641
340,72.8,14.648
350,71.0,16.426
360,64.4,21.181
370,69.9,19.274
380,100.6,27.023
390,102.0,27.745
400,88.0,19.794
410,76.9,13.164
420,82.1,10.728
430,79.6,26.135
440,85.7,17.424
450,70.7,32.536
460,70.1,21.852
470,108.8,26.434
480,92.1,24.312
490,77.1,7.713
500,78.4,7.31
510,68.9,21.966
520,79.3,7.142
530,102.9,25.225
540,96.0,21.936
550,88.8,13.984
560,68.0,21.522
570,90.8,19.549
580,78.8,8.376
590,80.7,7.239
600,105.4,24.042
610,95.3,22.253
620,100.6,32.589
630,99.5,19.397
640,102.7,20.509
650,87.6,13.2
660,83.1,15.984
670,90.0,19.627
680,104.1,20.142
690,90.8,16.259
700,117.4,31.718
710,98.0,25.788
720,85.8,7.679
730,88.9,19.018
740,97.4,17.402
750,97.4,15.743
760,88.0,12.174
770,92.2,13.28
780,77.5,10.585
790,84.4,10.956
800,100.5,28.204
810,83.5,12.266
820,86.3,9.675
830,90.6,13.698
840,82.3,8.161
850,88.6,15.705
860,114.4,31.264
870,93.8,22.18
880,81.0,7.912
890,96.5,19.77
900,95.2,16.055
910,104.4,20.284
920,111.5,14.236
930,89.7,14.142
940,83.6,7.486
950,85.7,13.206
960,124.9,23.738
970,163.1,62.711
980,124.9,33.207
990,95.6,15.743
