Episode,mean_score,std_dev
0,18.5,10.519
10,18.5,10.519
20,18.5,10.519
30,18.5,10.519
40,18.5,10.519
50,57.0,18.325
60,110.2,21.099
70,85.3,8.013
80,63.3,21.19
90,57.6,14.534
100,74.8,17.273
110,9.2,0.872
120,9.2,0.748
130,9.3,0.781
140,8.9,0.7
150,8.9,0.7
160,51.5,9.383
170,49.3,13.046
180,64.6,16.954
190,59.8,11.143
200,62.1,10.104
210,9.4,0.663
220,9.4,0.663
230,9.4,0.663
240,9.4,0.663
250,9.4,0.663
260,65.8,21.526
270,106.6,44.025
280,151.0,84.329
290,111.3,49.954
300,363.9,180.501
310,9.4,0.663
320,9.4,0.663
330,8.9,0.7
340,8.9,0.7
350,9.1,0.7
360,73.3,103.467
370,192.3,201.752
380,311.1,195.928
390,319.5,192.226
400,288.7,199.248
410,9.4,0.663
420,9.4,0.663
430,9.4,0.663
440,9.4,0.663
450,9.4,0.663
460,9.2,0.872
470,26.1,4.989
480,32.6,6.844
490,69.5,99.674
500,39.0,12.108
510,9.4,0.663
520,9.4,0.663
530,9.4,0.663
540,9.4,0.663
550,9.4,0.663
560,9.2,0.872
570,14.5,2.012
580,23.8,3.816
590,23.6,3.611
600,21.2,3.458
610,9.4,0.663
620,9.4,0.663
630,9.4,0.663
640,9.4,0.663
650,9.4,0.663
660,10.4,1.2
670,14.4,1.908
680,17.3,2.369
690,16.1,2.119
700,16.7,2.002
710,9.4,0.663
720,9.4,0.663
730,9.4,0.663
740,9.4,0.663
750,9.4,0.663
760,13.0,1.549
770,20.7,2.648
780,10.3,0.9
790,9.2,0.872
800,9.2,0.872
810,9.4,0.663
820,9.4,0.663
830,9.4,0.663
840,9.4,0.663
850,9.4,0.663
860,9.2,0.872
870,9.2,0.872
880,9.2,0.872
890,9.2,0.872
900,9.2,0.872
910,9.4,0.663
920,9.4,0.663
930,9.4,0.663
940,9.4,0.663
950,9.4,0.663
960,9.2,0.872
970,9.4,0.917
980,9.2,0.872
990,9.2,0.872
